player,quarter,top_speed,age,age_month,opponent_level,interval,playng_venue,position,score_dif,match,playing_time,season,sprints,zv1,zv2,zv3,zv4,zv5,dcel1,dcel2,dcel3,dcel4,acel1,acel2,acel3,acel4,fc1,fc2,fc3,fc4,fc5,trimp,tot_dist,lid,mid,mhid,hid,tot_ac,miac,mhiac,hiac,tot_dc,midc,mhidc,hidc
719592,2,26.0,34,34.8,17,2,2,2,10.6,25.04.09_Botafogo,8.1,24_25,0.1234567901234568,46.04938271604939,54.69135802469136,33.827160493827165,8.271604938271606,0.8641975308641976,8.271604938271606,11.481481481481483,4.814814814814815,0.9876543209876544,6.666666666666667,10.493827160493828,4.197530864197531,0.1234567901234568,0.2469135802469136,0.4938271604938272,0.3703703703703704,0.8641975308641976,0.7407407407407408,78,150.12345679012347,100.74074074074075,33.827160493827165,42.96296296296296,9.135802469135802,21.48148148148148,10.493827160493828,14.814814814814815,4.320987654320988,25.555555555555557,11.481481481481483,17.283950617283953,5.802469135802469
714226,2,21.0,36,36.8,17,2,2,3,10.6,25.04.09_Botafogo,7.5,24_25,0.0,55.06666666666667,63.2,18.133333333333333,4.0,0.0,8.266666666666667,11.2,3.466666666666667,0.4,7.466666666666667,13.066666666666666,2.2666666666666666,0.13333333333333333,0.8,0.4,0.6666666666666666,0.9333333333333333,0.0,54,145.86666666666667,118.26666666666667,18.133333333333333,22.133333333333333,4.0,22.933333333333334,13.066666666666666,15.466666666666667,2.4,23.333333333333332,11.2,15.066666666666666,3.8666666666666667
703343,2,23.0,20,20.2,17,2,2,3,10.6,25.04.09_Botafogo,5.4,24_25,0.0,51.11111111111111,59.81481481481481,19.814814814814813,4.444444444444444,0.0,7.777777777777778,11.481481481481481,3.333333333333333,0.5555555555555555,8.148148148148147,12.962962962962962,3.7037037037037033,0.0,1.8518518518518516,0.18518518518518517,0.37037037037037035,0.7407407407407407,0.7407407407407407,52,141.66666666666666,110.92592592592592,19.814814814814813,24.259259259259256,4.444444444444444,24.814814814814813,12.962962962962962,16.666666666666664,3.7037037037037033,23.148148148148145,11.481481481481481,15.37037037037037,3.888888888888889
699682,3,23.1,21,21.6,17,2,2,1,20.93,25.04.09_Botafogo,2.7,24_25,0.0,51.48148148148148,68.14814814814814,24.074074074074073,8.148148148148147,0.0,7.777777777777778,17.777777777777775,2.5925925925925926,0.7407407407407407,7.4074074074074066,15.185185185185183,5.185185185185185,0.0,1.111111111111111,0.0,0.0,1.111111111111111,0.0,17,158.88888888888889,119.62962962962962,24.074074074074073,32.22222222222222,8.148148148148147,27.777777777777775,15.185185185185183,20.37037037037037,5.185185185185185,28.888888888888886,17.777777777777775,21.11111111111111,3.333333333333333
713851,3,23.3,31,31.2,17,2,2,1,20.93,25.04.09_Botafogo,6.4,24_25,0.0,43.59375,57.65625,20.625,3.90625,0.0,6.5625,10.3125,4.53125,0.3125,7.5,11.875,2.8125,0.0,0.46875,0.3125,0.46875,1.09375,0.15625,48,131.5625,101.25,20.625,24.53125,3.90625,22.1875,11.875,14.6875,2.8125,21.71875,10.3125,15.15625,4.84375
713017,3,24.9,20,20.0,17,2,2,1,20.93,25.04.09_Botafogo,3.6,24_25,0.2777777777777778,50.55555555555556,55.0,17.77777777777778,5.277777777777778,1.1111111111111112,8.333333333333334,10.555555555555555,3.0555555555555554,2.2222222222222223,8.333333333333334,13.055555555555555,4.444444444444445,0.0,0.8333333333333333,0.0,0.0,1.3888888888888888,0.2777777777777778,29,136.66666666666666,105.55555555555556,17.77777777777778,24.166666666666664,6.388888888888888,25.833333333333332,13.055555555555555,17.5,4.444444444444445,24.166666666666664,10.555555555555555,15.833333333333332,5.277777777777778
719376,3,17.2,31,31.1,17,2,2,1,20.93,25.04.09_Botafogo,4.8,24_25,0.0,37.91666666666667,55.625,5.625,0.0,0.0,6.458333333333334,8.958333333333334,2.0833333333333335,0.0,8.541666666666668,9.375,1.25,0.0,0.4166666666666667,0.625,0.625,0.20833333333333334,0.0,20,103.95833333333334,93.54166666666667,5.625,5.625,0.0,19.166666666666668,9.375,10.625,1.25,17.5,8.958333333333334,11.041666666666668,2.0833333333333335
719433,3,25.3,28,28.8,17,2,2,1,20.93,25.04.09_Botafogo,6.7,24_25,0.14925373134328357,60.44776119402985,59.1044776119403,21.940298507462686,9.104477611940299,0.44776119402985076,9.253731343283581,10.0,3.432835820895522,1.044776119402985,8.35820895522388,11.791044776119403,3.134328358208955,0.0,0.7462686567164178,0.29850746268656714,0.29850746268656714,0.8955223880597015,0.44776119402985076,56,156.71641791044775,119.55223880597015,21.940298507462686,31.492537313432834,9.552238805970148,23.283582089552237,11.791044776119403,14.925373134328359,3.134328358208955,23.73134328358209,10.0,14.477611940298507,4.477611940298507
712072,3,25.6,17,17.5,17,2,2,2,20.93,25.04.09_Botafogo,8.6,24_25,0.3488372093023256,48.372093023255815,61.86046511627907,28.255813953488374,13.13953488372093,1.1627906976744187,8.13953488372093,13.255813953488373,3.7209302325581395,0.5813953488372093,7.209302325581396,13.023255813953488,4.069767441860465,0.0,0.23255813953488372,0.46511627906976744,0.3488372093023256,0.3488372093023256,0.3488372093023256,44,158.72093023255815,110.23255813953489,28.255813953488374,42.55813953488372,14.30232558139535,24.30232558139535,13.023255813953488,17.093023255813954,4.069767441860465,25.697674418604652,13.255813953488373,17.558139534883722,4.302325581395349
719592,3,26.0,34,34.8,17,2,2,2,20.93,25.04.09_Botafogo,4.7,24_25,0.2127659574468085,38.29787234042553,58.08510638297872,20.21276595744681,5.319148936170213,1.702127659574468,7.872340425531915,9.787234042553191,3.1914893617021276,0.2127659574468085,6.808510638297872,9.361702127659575,2.978723404255319,0.0,1.702127659574468,0.2127659574468085,0.425531914893617,0.851063829787234,0.2127659574468085,35,128.29787234042553,96.38297872340425,20.21276595744681,27.23404255319149,7.0212765957446805,19.148936170212764,9.361702127659575,12.340425531914892,2.978723404255319,21.06382978723404,9.787234042553191,13.191489361702127,3.404255319148936
